os,ram,vga,battery,weight,price,webcam,chipset,chipset_gen,screen_size,screen_width,screen_height,screen_revolution,storage_type,storage,brand,ram_max
Win,16,nvidia,54,2.08,27990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Dell,24
Win,16,amd,50,2.1,15990000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Lenovo,24
Win,16,intel,50,2.1,18890000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,50,2.1,22990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,8,intel,50,2.1,13990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,intel,50,2.1,15190000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,50,2.1,20690000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,8,nvidia,50,2.1,18790000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,nvidia,50,2.1,23499000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,32
Win,16,nvidia,50,2.1,18999000,1,Intel,i5,15.6,1920,1080,FHD,SSD,1024,Acer,32
Win,16,nvidia,53,2.1,19990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,MSI,24
Win,16,nvidia,53.5,2.1,23999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,32
Win,16,intel,55,2.1,19990000,1,Intel,i7,16,2560,1600,2.5K,SSD,512,Lenovo,24
Win,32,nvidia,90,2.1,71990000,1,Intel,i9,16,2560,1600,QHD,SSD,1024,Asus,48
Win,32,nvidia,90,2.1,72999000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Asus,64
Win,8,nvidia,96,2.12,17990000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Dell,12
Mac OS,16,nvidia,90,2.15,61999000,1,Intel,i7,16.2,3456,2234,FHD,SSD,512,Apple,16
Mac OS,16,nvidia,90,2.15,64499000,1,Intel,i7,16.2,3456,2234,FHD,SSD,1024,Apple,16
Mac OS,16,nvidia,90,2.15,64499000,1,Intel,i7,16.2,3456,2234,FHD,SSD,1024,Apple,16
Mac OS,16,nvidia,90,2.15,61999000,1,Intel,i7,16.2,3456,2234,FHD,SSD,512,Apple,16
Mac OS,32,nvidia,90,2.16,85999000,1,Intel,i7,16.2,3456,2234,FHD,SSD,1024,Apple,32
Win,8,nvidia,50,2.19,15590000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,HP,12
Win,16,intel,87,2.19,25590000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,24
Win,8,intel,87,2.19,21990000,1,Intel,i5,16,1920,1200,FHD,SSD,512,Dell,12
Win,8,nvidia,55,2.2,24890000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,HP,12
Win,16,nvidia,65,2.2,25890000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,56,2.2,19990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,8,nvidia,56,2.2,22990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,8,nvidia,56,2.2,18990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,8,nvidia,56,2.2,23699000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,16,nvidia,90,2.2,30490000,1,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,1024,Asus,24
Win,16,nvidia,90,2.2,25290000,1,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,25590000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,1024,Asus,24
Win,8,amd,90,2.2,24990000,1,AMD,Ryzen 7,16,1920,1200,FHD,SSD,512,Asus,12
Win,8,nvidia,90,2.2,26190000,1,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,8,nvidia,90,2.2,37490000,1,AMD,Ryzen 9,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,8,nvidia,90,2.2,23990000,1,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,16,nvidia,90,2.2,26490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,26490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,31490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,26490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,27990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,33990000,1,Intel,i9,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.2,58990000,1,Intel,i9,16,2560,1600,QHD,SSD,1024,Asus,24
Win,16,nvidia,90,2.2,36990000,1,Intel,i7,16,1920,1200,WUXGA,SSD,1024,MSI,24
Win,8,nvidia,90,2.2,24599000,1,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,16,nvidia,90,2.2,59499000,1,Intel,i9,16,2560,1600,QHD,SSD,1024,Asus,64
Win,8,nvidia,90,2.2,28999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,8,nvidia,44,2.25,21590000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,16,nvidia,55,2.25,25490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,24
Win,16,nvidia,55,2.25,28590000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,MSI,24
Win,8,nvidia,55,2.25,25990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,12
Win,16,nvidia,55,2.25,37990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,MSI,24
Win,16,nvidia,99,2.25,34890000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,24
Win,8,nvidia,99,2.25,27490000,1,Intel,i5,15.6,1980,1080,FHD,SSD,512,Dell,12
Win,8,nvidia,53.5,2.26,37499000,1,Intel,i7,16,1920,1200,FHD,SSD,512,MSI,64
Win,16,nvidia,87,2.27,57490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Dell,24
Win,32,nvidia,87,2.27,87990000,1,Intel,i9,15.6,1920,1080,FHD,SSD,1024,Dell,48
Win,16,nvidia,87,2.27,62990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,24
Win,8,nvidia,48,2.28,26769000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,16
Win,8,nvidia,50,2.29,23490000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,HP,12
Win,16,nvidia,50,2.29,24390000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.29,30990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,HP,24
Win,8,nvidia,70,2.29,28490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,HP,12
Win,16,nvidia,70,2.29,28690000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.29,28990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,1024,HP,24
Win,8,nvidia,70,2.29,18990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,HP,12
Win,16,nvidia,70,2.29,30890000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,HP,24
Win,8,nvidia,48,2.3,14990000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,16,nvidia,48,2.3,19990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,8,nvidia,48,2.3,15990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,8,nvidia,48,2.3,18990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,16,nvidia,54,2.3,27990000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,83,2.3,56890000,1,Intel,i7,16.1,2560,1440,QHD,SSD,1024,HP,48
Win,32,nvidia,83,2.3,66990000,1,Intel,i9,16.1,2560,1440,QHD,SSD,1024,HP,48
Win,16,nvidia,90,2.3,33990000,1,Intel,i7,16,3200,2000,3.2K,SSD,1024,Asus,24
Win,16,nvidia,90,2.3,32790000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Dell,24
Win,16,nvidia,90,2.3,33990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Dell,24
Win,16,nvidia,90,2.3,45999000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Acer,32
Win,16,nvidia,90,2.3,26999000,1,Intel,,15.6,2560,1440,QHD,SSD,1024,MSI,64
Win,16,nvidia,99,2.3,45999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,2048,Gigabyte,32
Win,16,nvidia,70,2.31,28490000,1,AMD,Ryzen 7,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.31,26290000,1,AMD,Ryzen 5,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.31,27990000,1,Intel,i5,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.31,29990000,1,Intel,i7,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.31,30390000,1,Intel,i5,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,70,2.31,36490000,1,Intel,i7,16.1,1920,1080,FHD,SSD,512,HP,24
Win,16,nvidia,97,2.31,97990000,1,Intel,i9,17,3840,2400,FHD,SSD,512,Dell,24
Win,8,nvidia,60,2.32,17999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
Win,8,nvidia,60,2.32,17999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
Win,16,amd,53.5,2.35,16999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,MSI,64
Win,8,nvidia,80,2.35,24999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
Win,8,amd,90,2.35,18999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,MSI,64
Win,16,nvidia,60,2.4,18999000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Lenovo,32
Win,8,nvidia,60,2.4,18999000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
Win,8,nvidia,70,2.4,20999000,1,Intel,i5,16.1,1920,1080,FHD,SSD,512,HP,16
Win,16,nvidia,80,2.4,32999000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Lenovo,32
Win,8,nvidia,80,2.4,39499000,1,Intel,i7,16,2560,1600,FHD,SSD,1024,Lenovo,16
Win,16,nvidia,80,2.4,34999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Lenovo,32
Win,16,nvidia,90,2.4,34990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Acer,24
Win,32,nvidia,90,2.4,59990000,1,Intel,i9,16,3840,2400,4K,SSD,1024,Asus,48
Win,32,nvidia,90,2.4,69990000,1,Intel,i9,16,3840,2400,4K,SSD,1024,Asus,48
Win,16,nvidia,90,2.4,44990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Acer,24
Win,32,nvidia,96,2.4,48990000,1,Intel,i9,16,3840,2400,FHD,SSD,1024,Asus,48
Win,16,nvidia,99,2.4,34990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Dell,24
Win,16,nvidia,99,2.4,36999000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Gigabyte,32
Win,16,nvidia,86,2.42,52990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,512,Dell,24
Win,16,nvidia,86,2.42,54490000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,24
Win,16,nvidia,86,2.42,45990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,24
Win,16,nvidia,86,2.42,39990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,24
Win,32,nvidia,97,2.42,48890000,1,Intel,i7,17,3840,2400,FHD,SSD,1024,Dell,48
Win,16,intel,97,2.42,56999000,1,Intel,i7,14,1920,1080,FHD,SSD,1024,Dell,64
Win,16,nvidia,90,2.45,54999000,1,Intel,,16,1920,1080,QHD,SSD,2048,MSI,64
Win,16,nvidia,90,2.45,59999000,1,Intel,,17,1920,1080,QHD,SSD,2048,MSI,64
Ubuntu,16,nvidia,95,2.45,77499000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Dell,32
Win,8,nvidia,90,2.46,17590000,1,AMD,Ryzen 5,16.1,1920,1080,FHD,SSD,512,HP,12
Win,8,nvidia,54,2.49,22790000,1,Intel,i5,17.3,1920,1080,FHD,SSD,512,Dell,12
Win,16,nvidia,55,2.5,22990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,56,2.5,20690000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,44,2.5,24990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Acer,24
Win,8,nvidia,77,2.5,25590000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,8,nvidia,57,2.5,24890000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,8,nvidia,57,2.5,22890000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.5,22990000,1,AMD,Ryzen 7,15.6,2560,1440,2K,SSD,512,Acer,24
Win,8,nvidia,90,2.5,17490000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.5,29500000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.5,26690000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.5,27990000,1,Intel,i9,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.5,30990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.5,40990000,1,Intel,i7,15.6,1920,1080,QHD,SSD,512,Asus,24
Win,8,nvidia,90,2.5,31990000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,12
Win,16,nvidia,90,2.5,53890000,1,Intel,i7,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,8,nvidia,90,2.5,22490000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.5,35990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,8,nvidia,90,2.5,24190000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,32,nvidia,90,2.5,85990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,48
Win,8,nvidia,90,2.5,26990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.5,45990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,16,nvidia,90,2.5,36490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,24
Win,16,nvidia,90,2.5,41999000,1,Intel,i7,16,2560,1600,QHD,SSD,512,Asus,32
Win,8,nvidia,90,2.5,25799000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Acer,16
Win,16,nvidia,90,2.5,37489000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,32
Win,16,nvidia,90,2.5,37999000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Asus,32
Win,16,nvidia,90,2.5,53999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Asus,32
Win,32,nvidia,84,2.54,150999000,1,Intel,i7,15.6,3840,2160,4K,SSD,2048,Asus,64
Win,32,nvidia,84,2.54,80299000,1,Intel,i7,15.6,3840,2160,4K,SSD,1024,Asus,64
Win,8,nvidia,80,2.55,44999000,1,Intel,i9,16,2560,1600,FHD,SSD,1024,Lenovo,16
Win,8,nvidia,80,2.55,51999000,1,Intel,i9,16,2560,1600,FHD,SSD,1024,Lenovo,16
Win,16,nvidia,90,2.59,29990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,512,Acer,24
Win,8,nvidia,76,2.6,24999000,0,AMD,Ryzen 7,14,2560,1440,QHD,SSD,512,Asus,16
Win,16,nvidia,76,2.6,19499000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,16,nvidia,83,2.6,78999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,32
Win,16,nvidia,83,2.6,85999000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,32
Ubuntu,16,nvidia,83,2.6,72699000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,32
Ubuntu,16,nvidia,83,2.6,72699000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,32
Win,16,nvidia,83,2.6,78999000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,32
Win,16,nvidia,83,2.6,85999000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,32
Win,32,nvidia,90,2.6,108990000,1,AMD,Ryzen 9,16,2560,1600,FHD,SSD,1024,Asus,48
Win,16,nvidia,90,2.6,23990000,1,Intel,i5,16,1900,1200,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,35990000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,32,nvidia,90,2.6,112490000,1,Intel,i9,16,2560,1600,FHD,SSD,2048,Acer,48
Win,8,nvidia,90,2.6,34290000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,12
Win,8,nvidia,90,2.6,36490000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,12
Win,16,nvidia,90,2.6,37890000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,52990000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,39790000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,37690000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,24
Win,16,nvidia,90,2.6,42990000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,24
Win,8,nvidia,90,2.6,37999000,0,AMD,Ryzen 9,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,8,nvidia,90,2.6,19199000,0,AMD,Ryzen 7,15.6,1920,1080,FHD,SSD,512,Asus,64
Win,8,nvidia,90,2.6,26499000,0,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Dos,16,nvidia,90,2.6,49989000,1,Intel,i7,15.6,1920,1080,FHD,SSD,256,HP,32
Dos,8,intel,90,2.6,22999000,1,Intel,i5,14,1920,1200,WUXGA,SSD,256,LG,8
Dos,16,intel,90,2.6,34999000,1,Intel,i5,16,2560,1600,FHD,SSD,512,LG,16
Win,16,nvidia,90,2.6,39699000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,32
Win,16,nvidia,90,2.6,39999000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,32
Win,8,nvidia,90,2.6,34699000,1,Intel,i5,16,2560,1600,FHD,SSD,512,Acer,16
Win,8,nvidia,90,2.6,34999000,0,Intel,i7,15.6,1920,1080,FHD,SSD,512,Asus,32
Win,32,nvidia,90,2.6,52999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,64
Win,16,nvidia,90,2.6,39999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,32
Ubuntu,16,nvidia,83,2.67,70990000,1,Intel,i7,16,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,83,2.67,77990000,1,Intel,i7,16,1920,1200,FHD,SSD,1024,Dell,48
Win,32,nvidia,83,2.67,84990000,1,Intel,i9,16,1920,1200,FHD,SSD,1024,Dell,48
Win,16,nvidia,83,2.67,45990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,24
Win,32,nvidia,83,2.67,59990000,1,Intel,i7,15.6,3840,2400,FHD,SSD,512,Dell,48
Win,64,nvidia,83,2.67,81990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,96
Win,32,nvidia,83,2.67,47490000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,48
Win,32,nvidia,85,2.67,54990000,1,Intel,i7,15.6,1920,1200,FHD,SSD,512,Dell,48
Win,32,nvidia,90,2.67,118999000,1,AMD,Ryzen 9,16,2560,1600,QHD,SSD,1024,Asus,64
Win,16,nvidia,86,2.69,43990000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,24
Win,32,nvidia,90,2.69,39999000,1,Intel,i7,15.6,2560,1440,QHD,SSD,1024,Dell,64
Win,16,nvidia,90,2.7,37890000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,28690000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,38990000,1,AMD,Ryzen 9,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,33790000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,8,nvidia,90,2.7,28290000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,19990000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,16,nvidia,90,2.7,24990000,1,AMD,Ryzen 7,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,16,nvidia,90,2.7,21990000,1,AMD,Ryzen 5,16,1920,1200,WUXGA,SSD,512,Acer,24
Win,8,nvidia,90,2.7,22990000,1,Intel,i5,16,1920,1200,WUXGA,SSD,512,Acer,12
Win,16,nvidia,90,2.7,42999000,1,Intel,i7,16,2560,1600,FHD,SSD,512,Acer,32
Win,16,nvidia,99,2.7,45490000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,24
Win,16,nvidia,99,2.7,44990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,16,nvidia,99,2.7,54099000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Gigabyte,32
Win,8,nvidia,56,2.72,20999000,1,AMD,Ryzen 5,15.6,1920,1080,FHD,SSD,512,Dell,32
Win,16,nvidia,90,2.8,34990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,8,nvidia,90,2.8,22890000,1,Intel,i5,17.3,1920,1080,FHD,SSD,512,Acer,12
Win,32,nvidia,90,2.8,59999000,1,Intel,,17.3,2560,1440,QHD,SSD,2048,MSI,64
Win,32,nvidia,90,2.9,42990000,1,AMD,Ryzen 9,15.6,2560,1440,QHD,SSD,1024,Asus,48
Win,64,nvidia,90,2.9,109999000,1,Intel,i7,17.3,2560,1600,QHD,SSD,2048,MSI,64
Win,32,nvidia,87,2.96,118990000,1,Intel,i9,17.3,3840,2160,FHD,SSD,2048,Dell,48
Win,32,nvidia,87,2.96,98990000,1,Intel,i9,17.3,3840,2160,FHD,SSD,1024,Dell,48
Win,16,nvidia,90,3,26990000,1,AMD,Ryzen 7,17.3,1920,1080,FHD,SSD,1024,Acer,24
Win,32,nvidia,90,3,73990000,1,AMD,Ryzen 9,17.3,2560,1440,QHD,SSD,1024,Asus,48
Win,16,nvidia,90,3,29990000,1,AMD,Ryzen 7,17.3,2560,1600,QHD,SSD,1024,Acer,24
Win,8,nvidia,90,3,32690000,1,Intel,i5,17.3,1920,1080,FHD,SSD,512,Acer,12
Win,32,nvidia,90,3,64999000,1,Intel,i9,18,2560,1600,QHD,SSD,1024,Asus,64
Win,32,nvidia,93,3.01,65990000,1,Intel,i7,15.6,1920,1080,FHD,SSD,1024,Dell,48
Win,64,nvidia,93,3.01,124990000,1,Intel,i9,15.6,1920,1080,FHD,SSD,2048,Dell,96
Win,16,nvidia,87,3.02,56990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,512,Dell,24
Win,16,nvidia,87,3.02,58490000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,32,nvidia,87,3.02,77990000,1,Intel,i7,17.3,1920,1080,FHD,SSD,1024,Dell,48
Win,64,nvidia,90,3.1,110990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,2048,Asus,96
Win,32,nvidia,90,3.1,114490000,1,Intel,i9,18,2560,1600,FHD,SSD,2048,Acer,48
Win,16,nvidia,90,3.1,69990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,64,nvidia,86,3.25,108990000,1,Intel,i9,16,1920,1200,FHD,SSD,2048,Dell,96
Win,32,nvidia,90,3.3,61990000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,48
Win,16,nvidia,90,3.3,67890000,1,Intel,i9,15.6,1920,1080,QHD,SSD,1024,Asus,24
Win,64,nvidia,90,3.3,135099000,1,Intel,,17.3,3840,2160,FHD,SSD,2048,MSI,128
Win,16,nvidia,97,3.3,59990000,1,AMD,Ryzen 9,17.3,1920,1080,FHD,SSD,1024,Dell,24
Win,8,intel,45,2.1,13499000,1,Intel,i5,15.6,1920,1080,FHD,SSD,512,Lenovo,16
